Timestamp,Age,Industry,Functional area of job,Job title,Additional context,Annual salary,Additional monetary compensation,Currency,Currency - other,Income - additional context,Country,State,City/region,Remote or on-site?,Unionized?,Years of experience,Years in field,Highest level of education,Gender,Race,Disabled?
4/8/2025 16:58:00,55-64,Insurance,Insurance,Service Advisor ,,73000,700,CAD,,,Canada,,Calgary ,Fully remote,No,21-30 years,21-30 years,Grade 11,Woman,White,No
4/8/2025 16:58:29,35-44,Education (Higher Education),"Galleries, Libraries, Archives & Museums",Library Administrative Assistant,,42100,,USD,,,United States,Ohio,Columbus,Fully remote,No,11-20 years,5-7 years,Master's degree,Woman,White,No
4/8/2025 16:58:32,35-44,Health Care,Health Care,Regional Operations Director,,154000,5000,USD,,,United States,Texas,Central Texas,Hybrid,No,11-20 years,11-20 years,Master's degree,Woman,White,No
4/8/2025 16:58:37,35-44,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Specialist gardener,,111020,500,USD,,,United States,California,San Francisco,On-site,Yes,8-10 years,5-7 years,Master's degree,Woman,White,Yes
4/8/2025 16:59:09,45-54,Education (Higher Education),Education (Higher Education),Lecturer,,122000,,AUD,,,Australia,,Victoria,Hybrid,Yes,11-20 years,8-10 years,Doctorate,Woman,White,No
4/8/2025 16:59:34,35-44,Law,Attorney education compliance and program accreditation,CLE Specialist,,98325,2500,USD,,,United States,Illinois,Chicago,Hybrid,No,11-20 years,8-10 years,Bachelor's degree,Woman,White,Not sure / it's complicated
4/8/2025 16:59:35,35-44,Biotechnology & Pharma,Biotechnology & Pharma,"Senior Associate Director, Project Management",,200000,30000,USD,,,United States,Michigan,Detroit,Fully remote,No,11-20 years,11-20 years,Master's degree,Woman,White,No
4/8/2025 16:59:36,55-64,Education (Higher Education),Education (Higher Education),Director,,110000,0,USD,,,United States,Massachusetts,Boston,Hybrid,No,41 years or more,31-40 years,Doctorate,Woman,White,No
4/8/2025 17:00:06,45-54,Banking & Finance,Computing or Tech,Manager Portfolio Data,glorified data analyst,148600,16000,USD,,,United States,Texas,DFW,Fully remote,No,21-30 years,8-10 years,Master's degree,Woman,White,No
4/8/2025 17:00:16,65 or over,Health Care,Health Care,"Medical Laboratory Scientist, Specialist",,113000,,USD,,,United States,North Carolina,"Durham, NC",On-site,No,41 years or more,41 years or more,Master's degree,Woman,White,No
4/8/2025 17:00:25,35-44,Nonprofits,Nonprofits,Senior Program Manager,,72270,,USD,,,United States,Georgia,Atlanta,Fully remote,Yes,11-20 years,8-10 years,Master's degree,Woman,"Asian or Asian American, White",No
4/8/2025 17:00:28,25-34,Education (Higher Education),Education (Higher Education),Visiting Assistant Professor,,59000,0,USD,,,United States,Virginia,Central VA,On-site,No,5-7 years,5-7 years,Doctorate,Woman,White,No
4/8/2025 17:00:31,45-54,"Galleries, Libraries, Archives & Museums",Accounting,Senior Accountant,,101000,,USD,,,United States,California,Los Angeles,Hybrid,No,21-30 years,21-30 years,Bachelor's degree,Woman,White,No
4/8/2025 17:00:37,45-54,Health Care,Health Care,medical laboratory technologist,Equivalent to Medical Laboratory Scientist in the US,98900,,CAD,,,Canada,,toronto,On-site,Yes,31-40 years,11-20 years,Bachelor's degree,Man,White,Yes
4/8/2025 17:01:01,45-54,Health Care,Administration,Branch Manager,,72000,6000,USD,,,United States,Alaska,Kenai Peninsula,Fully remote,No,5-7 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White,No
4/8/2025 17:01:19,45-54,Utilities & Telecommunications,Project management ,Head of Programme Management ,,100350,27000,GBP,,,United Kingdom,,Reading,Hybrid,No,31-40 years,21-30 years,Bachelor's degree,Woman,White,No
4/8/2025 17:01:28,35-44,Health Care,Accounting,Staff Accountant,,72128,900,USD,,,United States,California,Los Angeles,Fully remote,No,11-20 years,2-4 years,Bachelor's degree,Non-binary,White,No
4/8/2025 17:01:46,45-54,Education (Higher Education),Administration,International Admissions Processor,,36000,,USD,,,United States,Texas,Dallas,Hybrid,No,21-30 years,11-20 years,Bachelor's degree,Woman,White,Not sure / it's complicated
4/8/2025 17:01:51,25-34,Research,Research,Associate Director,Lead a team of c. 20 economists carrying out policy-relevant research,99375,0,GBP,,,United Kingdom,,London,Hybrid,No,8-10 years,8-10 years,Master's degree,Woman,White,No
4/8/2025 17:02:21,55-64,Manufacturing,Science,Senior Director,,208000,30000,USD,,,United States,Virginia,Richmond,On-site,No,21-30 years,21-30 years,Doctorate,Woman,White,No
4/8/2025 17:03:34,25-34,Government & Public Administration,Health Care,Sexual health counselor,,66650,,CAD,,,Canada,,Toronto,Fully remote,Yes,8-10 years,8-10 years,Master's degree,Other or prefer not to answer,White,No
4/8/2025 17:04:04,25-34,Aerospace & Defense,Computing or Tech,Senior Data Scientist,,180000,,USD,,,United States,Maryland,Baltimore,Hybrid,No,8-10 years,8-10 years,Doctorate,Woman,White,No
4/8/2025 17:04:31,35-44,"Leisure, Sport & Tourism",Government & Public Administration,License Investigative Analyst,"Employer is state-level regulatory body for the industry, I process applications for licenses and permits.",51270,,USD,,,United States,Texas,Houston,On-site,No,11-20 years,8-10 years,Bachelor's degree,"Woman, Non-binary",Black or African American,No
4/8/2025 17:04:44,35-44,Education (Higher Education),Computing or Tech,Lead Analyst,,115000,0,CAD,,,Canada,,BC,On-site,Yes,11-20 years,11-20 years,Master's degree,Man,White,No
4/8/2025 17:04:45,35-44,Law,Law,Legal Assistant,,73500,,USD,,,United States,Wisconsin,Milwaukee,On-site,No,21-30 years,21-30 years,Some college,Woman,White,No
4/8/2025 17:05:42,25-34,Science,Biotechnology & Pharma,Senior Scientist,,150000,30000,USD,,,United States,California,Los Angeles,On-site,No,5-7 years,5-7 years,Doctorate,Woman,White,No
4/8/2025 17:06:19,25-34,Engineering,Administration,Office Administrator,,55000,1200,USD,,,United States,Texas,"Dallas, TX",On-site,No,8-10 years,5-7 years,Bachelor's degree,Woman,White,No
4/8/2025 17:06:19,35-44,Engineering,Biotechnology & Pharma,Biomedical Engineer,"I also do a lot of data science, and some biotech policy",181604,1500,USD,,,United States,Maryland,DC area,On-site,No,11-20 years,11-20 years,Doctorate,Woman,White,No
4/8/2025 17:06:20,35-44,Science,Computing or Tech,Database Developer,,42000,,GBP,,,United Kingdom,,Nottingham,Hybrid,Yes,11-20 years,11-20 years,Master's degree,Man,White,No
4/8/2025 17:06:55,25-34,Law,Law,Judicial Law Clerk,,124189,0,USD,,,United States,New York,New York City,On-site,No,5-7 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,White,No
4/8/2025 17:07:09,45-54,Government & Public Administration,Government & Public Administration,Manager level 1,,95000,,USD,,,United States,California,Sacramento ,Other/it's complicated,No,11-20 years,5-7 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",No
4/8/2025 17:07:12,55-64,Accounting,Accounting,Owner,,150000,,USD,,W-2 wages plus distributions,United States,Arizona,Prescott,Hybrid,No,31-40 years,31-40 years,Bachelor's degree,Woman,White,Yes
4/8/2025 17:07:42,35-44,Engineering,Engineering,Forensic Architect,Architect who specializes in buildings with problems.,220000,65000,USD,,Equity partner in company,United States,Illinois,Chicago,Hybrid,No,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White,No
4/8/2025 17:08:06,45-54,Data Analytics/Market Research,Media & Digital,Operations Director,,74000,1200,GBP,,,United Kingdom,,London,Hybrid,No,21-30 years,11-20 years,Bachelor's degree,Woman,White,No
4/8/2025 17:08:12,35-44,Law,Government & Public Administration,Law drafter,,134000,0,NZD,,,New Zealand,,Wellington,Other/it's complicated,Yes,11-20 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White,Not sure / it's complicated
4/8/2025 17:08:23,55-64,Education (Early/Primary/Secondary),Education (Early/Primary/Secondary),Instructional Aide,,32000,0,USD,,,United States,Pennsylvania,Pittsburgh Area,On-site,No,31-40 years,21-30 years,Some college,Woman,White,No
4/8/2025 17:08:23,35-44,Government & Public Administration,Science,Senior Research Analyst,"program evaluation, data analysis",97864,0,USD,,,United States,Minnesota,Minneapolis/St. Paul,Fully remote,Yes,11-20 years,11-20 years,Doctorate,Woman,White,No
4/8/2025 17:08:24,45-54,Insurance,Insurance,Claims Director,,192500,50000,USD,,,United States,California,Los Angeles,Fully remote,No,21-30 years,21-30 years,Bachelor's degree,Woman,White,No
4/8/2025 17:08:35,35-44,Banking & Finance,Business or Consulting,Wealth Advisor,"Securities, Insurance and Tax Strategies",320000,,USD,,,United States,Missouri,St. Louis,Hybrid,No,11-20 years,11-20 years,Bachelor's degree,Woman,White,No
4/8/2025 17:08:44,25-34,Nonprofits,Nonprofits,Program Director ,,82500,4000,USD,,Up to 5% bonus annually,United States,Texas,Galveston ,Hybrid,No,8-10 years,8-10 years,Doctorate,Woman,White,Yes
4/8/2025 17:08:53,35-44,Education (Early/Primary/Secondary),Education (Early/Primary/Secondary),Teacher (Substitute),,74880,0,USD,,,United States,Washington,Seattle,On-site,Yes,11-20 years,5-7 years,Master's degree,Man,White,Not sure / it's complicated
4/8/2025 17:08:55,45-54,Land Survey,,Instrument Operator,,58968,2700,USD,,,United States,Massachusetts,Boston,On-site,No,11-20 years,2-4 years,Bachelor's degree,Woman,White,No
4/8/2025 17:08:58,25-34,Property or Construction,Accounting,Senior Construction Accountant ,"I am not an accountant but I manage accountants, run payroll, and construction draws ",84000,,USD,,,United States,Colorado,Northern Colorado,Hybrid,No,8-10 years,2-4 years,Bachelor's degree,Woman,White,No
4/8/2025 17:09:46,55-64,Government & Public Administration,Business or Consulting,Senior Director,Manage financial assistance program office and customer service division,170000,250,USD,,,United States,Virginia,"washington, dc metro area",Hybrid,No,31-40 years,11-20 years,Bachelor's degree,Woman,White,Not sure / it's complicated
4/8/2025 17:09:55,25-34,Computing or Tech,Computing or Tech,Operations Engineer,Internal Tools Programming,81500,2000,USD,,On Call Stipend,United States,Minnesota,Twin Cities,Fully remote,No,8-10 years,11-20 years,Some college,Man,"Black or African American, White",No
4/8/2025 17:10:10,25-34,Health Care,Administration,Information Services Officer,,89616,,AUD,,,Australia,,Northern Territory,On-site,No,11-20 years,8-10 years,Some college,Woman,White,No
4/8/2025 17:10:37,55-64,Government & Public Administration,Computing or Tech,Programmer Analyst III,,105000,0,USD,,,United States,Alabama,Montgomery,Hybrid,No,21-30 years,21-30 years,Bachelor's degree,Woman,"Hispanic, Latino, or Spanish origin, White",No
4/8/2025 17:11:08,25-34,Retail,"Marketing, Advertising & PR",Lifecycle Marketing Manager,,126000,10000,USD,,,United States,California,Los Angeles,Fully remote,No,8-10 years,8-10 years,Bachelor's degree,Man,White,No
4/8/2025 17:11:24,45-54,Nonprofits,Science,Director of Administration & Operations,,135000,0,USD,,,United States,Massachusetts,Barnstable County,On-site,No,21-30 years,11-20 years,Master's degree,Woman,White,No
4/8/2025 17:11:28,35-44,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Archivist,,54000,,USD,,,United States,Indiana,Indianapolis,On-site,No,11-20 years,11-20 years,Master's degree,Woman,White,No
4/8/2025 17:11:33,25-34,Education (Higher Education),Education (Higher Education),Assistant Professor,,62000,2000,USD,,,United States,Iowa,Ames,Hybrid,No,8-10 years,8-10 years,Master's degree,Woman,White,No
4/8/2025 17:12:29,35-44,Education (Higher Education),Education (Higher Education),Assistant Instructor,,60000,,USD,,,United States,Florida,Pensacola,On-site,Yes,11-20 years,2-4 years,Doctorate,Woman,White,No
4/8/2025 17:12:33,45-54,Hospitality & Events,Communications,Operator (phone),,37400,500,USD,,,United States,Idaho,South-central Idaho,On-site,No,11-20 years,11-20 years,Associate's degree,Non-binary,White,Yes
4/8/2025 17:12:51,35-44,Art & Design,Art & Design,Project Director,,120000,5000,USD,,,United States,New York,NYC,Hybrid,No,11-20 years,11-20 years,Bachelor's degree,Woman,White,No
4/8/2025 17:13:27,45-54,Retail,Accounting,accountant,"not my exact title, but actual title is odd enough to identify me",119000,0,USD,,,United States,Minnesota,Twin Cities,Hybrid,No,31-40 years,31-40 years,Bachelor's degree,Woman,White,No
4/8/2025 17:13:57,25-34,Computing or Tech,Tech Content Writing ,Content Writer ,,115000,60000,USD,,60k in RSUs,United States,Colorado,Remote,Fully remote,No,8-10 years,8-10 years,Some college,Woman,White,No
4/8/2025 17:14:41,35-44,Health Care,Computing or Tech,Computer Support Analyst,,83000,3500,USD,,,United States,Washington,Seattle,On-site,Yes,8-10 years,5-7 years,Some college,Man,White,No
4/8/2025 17:14:47,35-44,Education (Higher Education),Recruitment or HR,Program Coordinator,,82000,,USD,,,United States,Massachusetts,Cambridge,Hybrid,No,11-20 years,11-20 years,Master's degree,Woman,White,Not sure / it's complicated
4/8/2025 17:15:11,25-34,Computing or Tech,Administration,Account Manager/Accountant/Executive Assistant,,42000,1500,USD,,,United States,Texas,South Texas,On-site,No,11-20 years,8-10 years,Some college,Woman,White,No
4/8/2025 17:15:18,35-44,Publishing,Computing or Tech,Content Designer,,90000,0,USD,,,United States,Ohio,Columbus,Fully remote,No,11-20 years,5-7 years,Bachelor's degree,Woman,White,No
4/8/2025 17:15:50,35-44,Engineering,Engineering,Senior Fire Protection Engineer,,159600,15000,USD,,,United States,Maryland,Washington DC,Fully remote,No,11-20 years,11-20 years,Master's degree,Woman,White,No
4/8/2025 17:15:54,55-64,Education (Early/Primary/Secondary),Education (Early/Primary/Secondary),Secondary School Teacher-Librarian,"Part of the day, I teach high school classes to 18-21 yr olds who still haven't finished high school; part of the day, I run the school library.",110000,0,CAD,,,Canada,,Toronto,On-site,Yes,21-30 years,11-20 years,Bachelor's degree,Woman,White,Not sure / it's complicated
4/8/2025 17:15:59,25-34,Manufacturing,Recruitment or HR,HR & Recruitment Advisor,,81060,,NZD,,,New Zealand,,Auckland,On-site,No,8-10 years,5-7 years,Bachelor's degree,Woman,White,No
4/8/2025 17:16:07,55-64,,Librarian,Librarian Department Head,,92339,0,USD,,,United States,Missouri,kansas city,On-site,No,21-30 years,21-30 years,Master's degree,Woman,White,No
4/8/2025 17:16:25,25-34,Education (Higher Education),Education (Higher Education),Awareness and Education Program Coordinator ,Educational Developer & everything else at an equity office,83000,0,CAD,,,Canada,,Toronto,Hybrid,Yes,5-7 years,2-4 years,Master's degree,Non-binary,"Middle Eastern or Northern African, White",Yes
4/8/2025 17:16:37,35-44,Nonprofits,"Galleries, Libraries, Archives & Museums",Professional Development Manager,,66000,0,USD,,,United States,Tennessee,Nashville,Hybrid,No,11-20 years,8-10 years,Master's degree,Woman,White,No
4/8/2025 17:16:42,35-44,Computing or Tech,Business or Consulting,Director of Partnerships,,133300,8000,USD,,,United States,Colorado,Denver,Hybrid,No,11-20 years,11-20 years,Bachelor's degree,Woman,White,No
4/8/2025 17:16:56,35-44,Government & Public Administration,Education (Early/Primary/Secondary),Senior writer,,150000,,NZD,,,New Zealand ,,Wellington,Hybrid,No,11-20 years,11-20 years,Bachelor's degree,Woman,White,Not sure / it's complicated
4/8/2025 17:17:00,25-34,Computing or Tech,Computing or Tech,Policy Development Manager,,165000,12000,USD,,,United States,District of Columbia,DC,Hybrid,No,5-7 years,2-4 years,Doctorate,Woman,"Hispanic, Latino, or Spanish origin, White",No
4/8/2025 17:17:30,55-64,Transport or Logistics,Computing or Tech,Technical Advisor,senior software developer,148752,6584,USD,,,United States,Nevada,Las Vegas,Fully remote,No,31-40 years,31-40 years,Bachelor's degree,Man,White,No
4/8/2025 17:17:33,25-34,Education (Higher Education),Education (Higher Education),Instructional Designer,,67000,0,USD,,,United States,Pennsylvania,PA,Hybrid,Yes,8-10 years,5-7 years,Master's degree,Woman,White,Yes
4/8/2025 17:17:58,25-34,Law,Law,Associate Attorney,,122500,,USD,,,United States,Georgia,"Atlanta, Georgia",Fully remote,No,2-4 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,White,Not sure / it's complicated
4/8/2025 17:18:03,45-54,Government & Public Administration,Government & Public Administration,Grants Specialist,,103000,,USD,,,United States,Minnesota,Twin Cities,Hybrid,Yes,21-30 years,2-4 years,Doctorate,Woman,White,Yes
4/8/2025 17:18:06,25-34,Health Care,Business or Consulting,Manager,,115000,0,USD,,,United States,Connecticut,Hartford,Fully remote,No,5-7 years,5-7 years,Master's degree,Woman,White,Not sure / it's complicated
4/8/2025 17:18:17,25-34,Banking & Finance,Computing or Tech,Product/Business Analyst,,96000,10000,USD,,,United States,Virginia,Northern Virginia,Hybrid,No,2-4 years,2-4 years,Bachelor's degree,Woman,White,No
4/8/2025 17:18:28,25-34,Entertainment,Data Analysis,Data Analytics Manager,,65000,0,USD,,,United States,New York,NYC,Hybrid,No,8-10 years,2-4 years,Master's degree,Woman,White,No
4/8/2025 17:18:28,45-54,Education (Higher Education),Administration,Executive Officer,In charge of financial and other non-science administration at a research institute.,110000,0,USD,,,United States,Alaska,Fairbanks,Hybrid,No,11-20 years,11-20 years,Master's degree,Woman,"Black or African American, White",No
4/8/2025 17:18:32,35-44,Aerospace & Defense,Science,Senior Data Scientist,,180000,,USD,,,United States,Maryland,"Laurel, MD",On-site,No,11-20 years,8-10 years,Doctorate,Woman,White,No
4/8/2025 17:18:40,25-34,Philanthropy,Administration,Program Officer,,103000,2000,USD,,,United States,New York,New York City,Fully remote,No,8-10 years,5-7 years,Bachelor's degree,Woman,Asian or Asian American,No
4/8/2025 17:18:54,25-34,real estate,Administration,Agent Concierge,"I run admin services at one of 5 real estate offices - onboarding, reception, general tech questions, classes, connecting to resources, etc.",55744,1000,USD,,The $1000 is our annual Christmas bonus,United States,Utah,Park City,On-site,No,5-7 years,5-7 years,Bachelor's degree,Woman,White,No
4/8/2025 17:19:24,25-34,Entertainment,Administration,executive assistant,administrative assistant to a talent agent,38400,0,CAD,,,Canada,,"vancouver, bc",On-site,No,8-10 years,5-7 years,Bachelor's degree,Woman,White,No
4/8/2025 17:19:38,25-34,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Reference Librarian,,52000,,USD,,,United States,Wisconsin,Milwaukee County,On-site,No,11-20 years,2-4 years,Master's degree,Woman,White,No
4/8/2025 17:19:44,35-44,Education (Higher Education),"Galleries, Libraries, Archives & Museums",Interlibrary Loan Coordinator,,44000,0,USD,,"I am also the admin assistant, and got a raise when I took on those duties in addition to my actual job title.",United States,Texas,Dallas/Fort Worth,Hybrid,No,21-30 years,21-30 years,Bachelor's degree,Woman,White,No
4/8/2025 17:20:04,45-54,Computing or Tech,Computing or Tech,Senior Technical Program Manager,,146000,16000,USD,,,United States,California,Los Angeles,Fully remote,No,21-30 years,11-20 years,Bachelor's degree,Woman,White,No
4/8/2025 17:20:20,35-44,Law,Law,PUBLIC DEFENDER,,110000,0,USD,,,United States,Connecticut,Hartford,On-site,Yes,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White,No
4/8/2025 17:21:39,35-44,Government & Public Administration,Government & Public Administration,Social policy officer,,118000,0,AUD,,,Australia,,Melbourne,Hybrid,Yes,21-30 years,11-20 years,Master's degree,Woman,White,No
4/8/2025 17:21:39,25-34,Labor Union,Organizing ,Union Rep / Organizer ,,84000,,USD,,we get a 5% step increase every year ,United States,California,Bay Area,Hybrid,Yes,5-7 years,2-4 years,Bachelor's degree,Woman,White,Yes
4/8/2025 17:22:13,25-34,Art & Design,Computing or Tech,Director of Operations,,150000,20000,CAD,,,Canada,,British Columbia,Hybrid,No,11-20 years,11-20 years,Bachelor's degree,Woman,Asian or Asian American,No
4/8/2025 17:22:21,25-34,Health Care,Health Care,Psychotherapist,,144000,,USD,,"I am self-employed and this income is pre-tax but post-business expenses/deductions (office space, electronic health record, etc)",United States,New York,NYC,Hybrid,No,8-10 years,2-4 years,Master's degree,Woman,White,Not sure / it's complicated
4/8/2025 17:22:48,55-64,Supply Chain Management,Computing or Tech,Software Engineer,,145000,2000,USD,,,United States,New York,New York,On-site,No,21-30 years,21-30 years,Doctorate,Man,White,No
4/8/2025 17:22:55,25-34,Engineering,Administration,Office Manager and Technical Writer,,79000,9000,CAD,,,Canada,,"Vancouver, BC, Canada",Hybrid,No,11-20 years,11-20 years,Associate's degree,Woman,"Asian or Asian American, White",Not sure / it's complicated
4/8/2025 17:24:02,55-64,Government & Public Administration,Education (Early/Primary/Secondary),Education Program Specialist,,73700,,USD,,,United States,Arizona,Tucson,Hybrid,No,31-40 years,31-40 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",No
4/8/2025 17:24:03,25-34,Agriculture or Forestry,Computing or Tech,Embedded engineer,,92000,,EUR,,,the Netherlands,,Amsterdam,On-site,No,8-10 years,8-10 years,Some college,Man,White,No
4/8/2025 17:24:12,45-54,Computing or Tech,Administration,President,,150000,50000,USD,,,United States,Minnesota,Southern Minnesota,Hybrid,No,11-20 years,11-20 years,Master's degree,Woman,White,No
4/8/2025 17:24:20,25-34,Computing or Tech,"Marketing, Advertising & PR",Senior Product Marketing Manager,,128000,,USD,,,United States,Illinois,Chicago,Fully remote,No,8-10 years,8-10 years,Master's degree,Woman,White,No
4/8/2025 17:24:25,45-54,Automotive Services,Computing or Tech,Director of Engineering,,149095,0,USD,,,United States,Minnesota,Minneapolis,Fully remote,No,11-20 years,11-20 years,Some college,Man,White,No
4/8/2025 17:24:29,18-24,Banking & Finance,Administration,Lead Client Service Coordinator,"I work for a financial advisor, running the back office, and filling paperwork. I supervise one employee.",44720,200,USD,,,United States,Florida,Daytona Beach/East Central Florida,On-site,No,5-7 years,2-4 years,Bachelor's degree,Woman,White,No
4/8/2025 17:24:29,35-44,Computing or Tech,Computing or Tech,Silicon Validation Engineer,,160000,85000,USD,,,United States,Massachusetts,Boston,Hybrid,No,11-20 years,5-7 years,Master's degree,"Woman, Non-binary",White,Yes
4/8/2025 17:24:31,25-34,Education (Early/Primary/Secondary),Education (Early/Primary/Secondary),Teacher,,103000,0,Other,NZD,,New Zealand,,Auckland,On-site,Yes,8-10 years,8-10 years,Bachelor's degree,Woman,White,No
4/8/2025 17:25:07,25-34,Data Analytics/Market Research,Business or Consulting,Director,Lead consulting engagements,200000,200000,USD,,,United States,Ohio,Cleveland,On-site,No,8-10 years,8-10 years,Master's degree,Man,White,No
4/8/2025 17:25:21,35-44,Education (Higher Education),Education (Higher Education),Director,,111000,,USD,,,United States,California,Los Angeles,Hybrid,No,8-10 years,5-7 years,Doctorate,Woman,White,No
4/8/2025 17:25:23,45-54,Computing or Tech,Project Management,Project Mangement,,150000,15000,USD,,,United States,Illinois,Chicago,Hybrid,No,21-30 years,8-10 years,Bachelor's degree,Man,White,No
4/8/2025 17:25:47,35-44,Education (Higher Education),Computing or Tech,Digital Accessibility Analyst,,77000,0,USD,,,United States,Illinois,Chicago,Fully remote,No,11-20 years,11-20 years,Master's degree,"Woman, Non-binary",White,Not sure / it's complicated
4/8/2025 17:26:16,55-64,Health Care,Accounting,Senior Financial Analyst,,107000,750,CAD,,,Canada,,"Vancouver, British Columbia, Canada",Fully remote,No,31-40 years,21-30 years,CPA (accounting designation),Woman,Asian or Asian American,No
4/8/2025 17:26:25,35-44,Law,Law,Lawyer,,275000,,CAD,,,Canada,,Vancouver,Hybrid,No,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White,No
4/8/2025 17:26:44,55-64,Government & Public Administration,Administration,Administrative Analyst,,115500,0,USD,,,United States,California,Santa Cruz,Hybrid,Yes,21-30 years,2-4 years,Master's degree,Woman,White,No
4/8/2025 17:27:25,35-44,Sales,Computing or Tech,Principal Software Engineer,,100000,0,GBP,,,United Kingdom,,Cambridge,Hybrid,No,11-20 years,11-20 years,Master's degree,Man,White,No
4/8/2025 17:28:17,35-44,Recruitment or HR,Research,Research Specialist,,71500,4000,USD,,,United States,Virginia,Northern Virginia,Fully remote,No,11-20 years,2-4 years,Master's degree,Woman,White,No
4/8/2025 17:28:20,35-44,Banking & Finance,Administration,Operations Manager,,75000,80000,GBP,,Bonuses vary annually,United Kingdom,,London,Hybrid,No,11-20 years,11-20 years,High School,Non-binary,White,Not sure / it's complicated
4/8/2025 17:28:36,35-44,Health Care,Administration,Desk Operation Specialist,"Reception, rooming, scheduling for clinic department.",47528,1000,USD,,,United States,Minnesota,Rochester,On-site,No,11-20 years,2-4 years,Some college,Man,White,No
4/8/2025 17:28:42,45-54,Education (Higher Education),Communications,Communications specialist ,,52000,0,USD,,,United States,West Virginia,Statewide,Hybrid,No,21-30 years,11-20 years,Master's degree,Woman,White,Yes
4/8/2025 17:28:46,25-34,Hospitality & Events,Sales,National Sales Manager,,82000,39000,USD,,,United States,Texas,San Antonio,Hybrid,No,8-10 years,8-10 years,Bachelor's degree,Woman,White,No
4/8/2025 17:28:54,35-44,Publishing,,Romance Author,,120000,,GBP,,,United Kingdom,,London,Fully remote,No,11-20 years,1 year or less,Some college,Woman,White,No
4/8/2025 17:28:54,65 or over,Consulting,Communications,Editor/Writer,,77000,0,USD,,,United States,Maryland,Washington DC,Fully remote,No,41 years or more,11-20 years,Bachelor's degree,Woman,White,No
4/8/2025 17:28:56,25-34,Law,Administration,Legal assistant,,24000,833,GBP,,,United Kingdom,,South west England ,On-site,No,11-20 years,1 year or less,Bachelor's degree,Woman,White,No
4/8/2025 17:28:56,45-54,Government & Public Administration,Government & Public Administration,Head of Data Governance ,,70450,0,GBP,,,United Kingdom,,Cardiff ,Hybrid,Yes,21-30 years,11-20 years,Master's degree,Woman,White,Yes
4/8/2025 17:29:04,45-54,Retail,Food Service,Bakery Clerk,,31000,0,USD,,,United States,Utah,Ogden,On-site,No,21-30 years,2-4 years,Master's degree,Woman,White,Not sure / it's complicated
4/8/2025 17:29:06,35-44,Government & Public Administration,Property or Construction,Program manager ,,120000,0,USD,,,United States,Pennsylvania,Philadelphia ,On-site,No,11-20 years,11-20 years,Master's degree,Woman,White,No
4/8/2025 17:29:23,45-54,Health Care,Computing or Tech,Lead Network Engineer,,151000,3000,USD,,,United States,North Carolina,Troutman,Fully remote,No,21-30 years,21-30 years,Bachelor's degree,Man,White,No
4/8/2025 17:30:09,55-64,Insurance,Insurance,Claims adjuster ,,107000,5000,USD,,,United States,Illinois,Chicago ,Hybrid,No,41 years or more,41 years or more,Bachelor's degree,Man,White,No
4/8/2025 17:30:13,35-44,Mental Health Care,Mental Health Care,Mental Health Counselor,,70000,0,USD,,,United States,Pennsylvania,Philadelphia,Fully remote,No,11-20 years,2-4 years,Master's degree,Woman,White,No
4/8/2025 17:30:52,35-44,Law,Risk and compliance,Head of Risk and Compliance,,70000,,GBP,,,United Kingdom,,Edinburgh,Hybrid,No,21-30 years,11-20 years,Bachelor's degree,Woman,White,No
4/8/2025 17:30:59,45-54,Business or Consulting,Supply Chain Management,Vice President,,260000,104000,USD,,,United States,Washington,Seattle,Fully remote,No,21-30 years,21-30 years,Some college,Woman,White,No
4/8/2025 17:31:25,35-44,Law,Law,Associate lawyer,,120000,10000,CAD,,,Canada,,"Saskatchewan, Canada",On-site,No,8-10 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,White,No
4/8/2025 17:31:43,45-54,Science,Science,Associate Instructor ,R1 university,72000,0,USD,,,United States,Utah,Salt Lake City ,Other/it's complicated,No,31-40 years,21-30 years,Doctorate,Woman,"Hispanic, Latino, or Spanish origin",No
4/8/2025 17:31:48,45-54,Private Family Office/High Net Worth,Administration,Office Manager and Executive Assistant to the CAO,,180000,25000,USD,,,United States,New York,New York,Hybrid,No,21-30 years,21-30 years,Bachelor's degree,Woman,White,No
4/8/2025 17:32:00,25-34,Government & Public Administration,Engineering,Radar Engineer,Weather radar engineering,94000,15000,AUD,,Bonus is superannuation (retirement fund contribution),Australia,,Melbourne,Hybrid,Yes,8-10 years,5-7 years,Associate's degree,Woman,White,Yes
4/8/2025 17:32:03,25-34,Child Care,Child Care,Nanny,,62400,,USD,,,United States,Oregon,Portland ,On-site,No,11-20 years,11-20 years,Montessori credentials ,Woman,White,No
